index,timestamp,src,dst,protocol,length
1,1682101039.2150629,1,0,TCP,74
2,1682101039.2152886,0,1,TCP,74
3,1682101039.215303,1,0,TCP,66
4,1682101039.2155228,1,0,TCP,107
5,1682101039.21567,0,1,TCP,66
6,1682101039.2214627,0,1,TCP,107
7,1682101039.2214708,1,0,TCP,66
8,1682101039.2216437,1,0,TCP,1570
9,1682101039.2221673,0,1,TCP,1146
10,1682101039.263135,1,0,TCP,66
11,1682101039.2716815,1,0,TCP,1274
12,1682101039.2808564,0,1,TCP,1630
13,1682101039.2808669,1,0,TCP,66
14,1682101039.2983408,1,0,TCP,82
15,1682101039.3392656,0,1,TCP,66
16,1682101039.33928,1,0,TCP,110
17,1682101039.3394008,0,1,TCP,66
18,1682101039.339483,0,1,TCP,110
19,1682101039.3395512,1,0,TCP,126
20,1682101039.346758,0,1,TCP,118
21,1682101039.346839,1,0,TCP,206
22,1682101039.3477452,0,1,TCP,166
23,1682101039.3486898,1,0,TCP,374
24,1682101039.3613937,0,1,TCP,94
25,1682101039.3615098,1,0,TCP,178
26,1682101039.403216,0,1,TCP,66
27,1682101039.4074488,0,1,TCP,842
28,1682101039.4511373,1,0,TCP,66
29,1682101039.4512444,0,1,TCP,258
30,1682101039.4512527,1,0,TCP,66
31,1682101039.4513607,1,0,TCP,854
32,1682101039.451477,0,1,TCP,66
33,1682101039.4519072,0,1,TCP,138
34,1682101039.4951048,1,0,TCP,66
35,1682101041.013104,1,0,TCP,102
36,1682101041.014572,0,1,TCP,206
37,1682101041.014624,1,0,TCP,66
38,1682101041.016286,0,1,TCP,134
39,1682101041.0163302,1,0,TCP,66
40,1682101041.0173216,0,1,TCP,166
41,1682101041.017365,1,0,TCP,66
42,1682101041.0174563,0,1,TCP,166
43,1682101041.0174809,1,0,TCP,66
44,1682101041.0206013,0,1,UDP,88
45,1682101041.0208218,0,1,UDP,88
46,1682101041.0380025,1,0,UDP,329
47,1682101041.0405898,1,0,UDP,289
48,1682101041.0433176,0,1,TCP,158
49,1682101041.0433743,1,0,TCP,66
