index,timestamp,src,dst,protocol,length
1,1682098909.709149,1,0,TCP,74
2,1682098909.7093258,0,1,TCP,74
3,1682098909.709345,1,0,TCP,66
4,1682098909.709533,1,0,TCP,107
5,1682098909.7096534,0,1,TCP,66
6,1682098909.716167,0,1,TCP,107
7,1682098909.7161772,1,0,TCP,66
8,1682098909.7163885,1,0,TCP,1570
9,1682098909.716975,0,1,TCP,1146
10,1682098909.759149,1,0,TCP,66
11,1682098909.7673724,1,0,TCP,1274
12,1682098909.7764935,0,1,TCP,1630
13,1682098909.776504,1,0,TCP,66
14,1682098909.7942383,1,0,TCP,82
15,1682098909.837927,0,1,TCP,66
16,1682098909.837942,1,0,TCP,110
17,1682098909.8380525,0,1,TCP,66
18,1682098909.8380694,0,1,TCP,110
19,1682098909.8381374,1,0,TCP,126
20,1682098909.8453372,0,1,TCP,118
21,1682098909.8454216,1,0,TCP,206
22,1682098909.84635,0,1,TCP,166
23,1682098909.8472188,1,0,TCP,374
24,1682098909.8599637,0,1,TCP,94
25,1682098909.860086,1,0,TCP,178
26,1682098909.9058228,0,1,TCP,66
27,1682098909.9102466,0,1,TCP,842
28,1682098909.9511828,1,0,TCP,66
29,1682098909.951551,0,1,TCP,258
30,1682098909.9515965,1,0,TCP,66
31,1682098909.952032,1,0,TCP,914
32,1682098909.9523025,0,1,TCP,66
33,1682098909.9541876,0,1,TCP,138
34,1682098909.9646237,0,1,TCP,7306
35,1682098909.964681,0,1,TCP,4294
36,1682098909.9647632,1,0,TCP,66
37,1682098909.9648745,0,1,TCP,110
38,1682098909.972356,1,0,TCP,7306
39,1682098909.9723814,1,0,TCP,70
40,1682098909.9728284,0,1,TCP,66
41,1682098909.978595,0,1,TCP,110
42,1682098910.0191245,1,0,TCP,66
43,1682098910.2219326,0,1,TCP,142
44,1682098910.2219496,1,0,TCP,66
45,1682098910.227754,0,1,TCP,142
46,1682098910.22777,1,0,TCP,66
47,1682098910.2293694,0,1,TCP,142
48,1682098910.2293923,1,0,TCP,66
49,1682098910.2294793,0,1,TCP,142
50,1682098910.2295067,1,0,TCP,66
51,1682098910.2295756,0,1,TCP,142
52,1682098910.229585,1,0,TCP,66
53,1682098910.2296522,0,1,TCP,142
54,1682098910.2296617,1,0,TCP,66
55,1682098910.2296643,0,1,TCP,218
56,1682098910.2296672,1,0,TCP,66
57,1682098910.2296848,0,1,TCP,142
58,1682098910.2296891,1,0,TCP,66
59,1682098910.2297893,0,1,TCP,182
60,1682098910.2297966,1,0,TCP,66
61,1682098910.229876,0,1,TCP,142
62,1682098910.229899,1,0,TCP,66
63,1682098910.2304196,0,1,TCP,142
64,1682098910.230424,1,0,TCP,66
65,1682098910.2307014,0,1,TCP,142
66,1682098910.2307048,1,0,TCP,66
67,1682098910.2310205,0,1,TCP,142
68,1682098910.231024,1,0,TCP,66
69,1682098910.231398,0,1,TCP,142
70,1682098910.231419,1,0,TCP,66
