index,timestamp,src,dst,protocol,length
1,1682358037.909121,1,0,TCP,166
2,1682358037.909433,0,1,TCP,66
3,1682358037.9099984,0,1,TCP,110
4,1682358037.9102163,1,0,TCP,238
5,1682358037.9119174,0,1,TCP,7306
6,1682358037.911981,0,1,TCP,7306
7,1682358037.9120598,1,0,TCP,66
8,1682358037.912385,0,1,TCP,14546
9,1682358037.9124422,0,1,TCP,14546
10,1682358037.9125276,1,0,TCP,66
11,1682358037.912805,0,1,TCP,29026
12,1682358037.9128785,0,1,TCP,29026
13,1682358037.912891,1,0,TCP,66
14,1682358037.9130688,0,1,TCP,7306
15,1682358037.9131434,0,1,TCP,43506
16,1682358037.9131718,1,0,TCP,66
17,1682358037.9134128,0,1,TCP,21786
18,1682358037.9134529,1,0,TCP,66
19,1682358037.913485,0,1,TCP,23130
20,1682358037.913667,0,1,TCP,31922
21,1682358037.9138985,0,1,TCP,33370
22,1682358037.9139848,1,0,TCP,66
23,1682358037.9140823,0,1,TCP,31922
24,1682358037.9141402,0,1,TCP,1462
25,1682358037.914254,0,1,TCP,31922
26,1682358037.9145029,0,1,TCP,33370
27,1682358037.9147403,1,0,TCP,66
28,1682358037.9147494,0,1,TCP,31922
29,1682358037.914768,1,0,TCP,102
30,1682358037.914942,0,1,TCP,1462
31,1682358037.914992,0,1,TCP,31922
32,1682358037.9152317,0,1,TCP,33370
33,1682358037.915445,1,0,TCP,66
34,1682358037.9155,0,1,TCP,31922
35,1682358037.915694,0,1,TCP,1462
36,1682358037.9157453,0,1,TCP,31922
37,1682358037.9159994,0,1,TCP,33370
38,1682358037.916115,1,0,TCP,66
39,1682358037.9161465,1,0,TCP,102
40,1682358037.9162023,0,1,TCP,31922
41,1682358037.9163914,0,1,TCP,1462
42,1682358037.9164643,0,1,TCP,31922
43,1682358037.9167476,0,1,TCP,33370
44,1682358037.9168153,1,0,TCP,66
45,1682358037.9170263,0,1,TCP,31922
46,1682358037.917072,0,1,TCP,1462
47,1682358037.9171677,0,1,TCP,31922
48,1682358037.9172456,1,0,TCP,66
49,1682358037.9172504,1,0,TCP,102
50,1682358037.9172914,0,1,TCP,33370
51,1682358037.9173188,0,1,TCP,514
52,1682358037.9173298,0,1,TCP,31922
53,1682358037.9173555,1,0,TCP,66
54,1682358037.9173918,0,1,TCP,33370
55,1682358037.9174004,0,1,TCP,514
56,1682358037.9174397,0,1,TCP,31922
57,1682358037.9174695,1,0,TCP,66
58,1682358037.917491,1,0,TCP,102
59,1682358037.917512,0,1,TCP,33370
60,1682358037.9175172,0,1,TCP,514
61,1682358037.9175534,0,1,TCP,31922
62,1682358037.9175742,1,0,TCP,66
63,1682358037.9175968,0,1,TCP,33370
64,1682358037.917604,0,1,TCP,514
65,1682358037.9176764,0,1,TCP,31922
66,1682358037.9177089,1,0,TCP,66
67,1682358037.9177127,1,0,TCP,102
68,1682358037.917766,0,1,TCP,33370
69,1682358037.917793,0,1,TCP,33318
70,1682358037.917798,1,0,TCP,66
71,1682358037.917823,0,1,TCP,31922
72,1682358037.9178464,1,0,TCP,66
73,1682358037.9178498,1,0,TCP,102
74,1682358037.917869,0,1,TCP,33370
75,1682358037.9178748,0,1,TCP,514
76,1682358037.9179163,0,1,TCP,31922
77,1682358037.9179337,1,0,TCP,66
78,1682358037.9179866,0,1,TCP,1014
79,1682358037.918001,0,1,TCP,31922
80,1682358037.918086,0,1,TCP,33370
81,1682358037.918106,1,0,TCP,66
82,1682358037.9181223,0,1,TCP,514
83,1682358037.918148,0,1,TCP,31922
84,1682358037.918152,1,0,TCP,66
85,1682358037.9181552,1,0,TCP,102
86,1682358037.918167,0,1,TCP,1014
87,1682358037.9181917,0,1,TCP,31922
88,1682358037.9182355,1,0,TCP,66
89,1682358037.918239,0,1,TCP,33370
90,1682358037.9182591,0,1,TCP,514
91,1682358037.9183023,0,1,TCP,31922
92,1682358037.9183028,1,0,TCP,66
93,1682358037.9183395,0,1,TCP,1014
94,1682358037.9183605,0,1,TCP,31922
95,1682358037.9183996,1,0,TCP,66
96,1682358037.9184024,1,0,TCP,102
97,1682358037.9184024,0,1,TCP,33370
98,1682358037.9184248,0,1,TCP,514
99,1682358037.9184663,0,1,TCP,31922
100,1682358037.9184673,1,0,TCP,66
101,1682358037.9184868,0,1,TCP,1014
102,1682358037.9185112,0,1,TCP,31922
103,1682358037.918567,1,0,TCP,66
104,1682358037.918571,0,1,TCP,33370
105,1682358037.9185927,0,1,TCP,514
106,1682358037.918611,1,0,TCP,66
107,1682358037.918614,1,0,TCP,102
108,1682358037.9186144,0,1,TCP,31922
109,1682358037.918638,0,1,TCP,1014
110,1682358037.9186783,0,1,TCP,31922
111,1682358037.9187102,1,0,TCP,66
112,1682358037.9187298,0,1,TCP,33370
113,1682358037.918736,0,1,TCP,514
114,1682358037.9187582,1,0,TCP,66
115,1682358037.9188058,0,1,TCP,31922
116,1682358037.9188168,0,1,TCP,1014
117,1682358037.918862,1,0,TCP,66
118,1682358037.9188812,1,0,TCP,102
119,1682358037.9189188,0,1,TCP,31922
120,1682358037.9189334,0,1,TCP,33370
121,1682358037.9189482,1,0,TCP,66
122,1682358037.9189506,0,1,TCP,514
123,1682358037.919046,0,1,TCP,31922
124,1682358037.919061,0,1,TCP,33370
125,1682358037.9190786,1,0,TCP,66
126,1682358037.9190822,1,0,TCP,102
127,1682358037.9191618,0,1,TCP,31922
128,1682358037.9192204,0,1,TCP,33370
129,1682358037.9192216,1,0,TCP,66
130,1682358037.919247,0,1,TCP,962
131,1682358037.9192653,0,1,TCP,31922
132,1682358037.9192896,1,0,TCP,66
