index,timestamp,src,dst,protocol,length
1,1678232130.9164782,1,0,TCP,166
2,1678232130.9166913,0,1,TCP,66
3,1678232130.916882,0,1,TCP,110
4,1678232130.9169428,1,0,TCP,238
5,1678232130.91793,0,1,TCP,7306
6,1678232130.917941,0,1,TCP,7306
7,1678232130.9179964,1,0,TCP,66
8,1678232130.9181745,0,1,TCP,14546
9,1678232130.9181845,0,1,TCP,14546
10,1678232130.91824,1,0,TCP,66
11,1678232130.91833,0,1,TCP,22234
12,1678232130.9183912,1,0,TCP,66
13,1678232130.9185357,0,1,TCP,29026
14,1678232130.918542,0,1,TCP,3910
15,1678232130.9185808,1,0,TCP,66
16,1678232130.9185996,0,1,TCP,24682
17,1678232130.9186316,1,0,TCP,66
18,1678232130.9186373,0,1,TCP,8254
19,1678232130.9186478,1,0,TCP,66
20,1678232130.9186563,0,1,TCP,31922
21,1678232130.9186618,0,1,TCP,1014
22,1678232130.9186957,1,0,TCP,66
23,1678232130.9187229,0,1,TCP,32870
24,1678232130.918738,1,0,TCP,102
25,1678232130.9187844,0,1,TCP,32870
26,1678232130.918792,1,0,TCP,66
27,1678232130.9188566,0,1,TCP,32870
28,1678232130.9188635,1,0,TCP,66
29,1678232130.918933,0,1,TCP,32870
30,1678232130.9189374,1,0,TCP,66
31,1678232130.9189627,1,0,TCP,102
32,1678232130.919076,0,1,TCP,32870
33,1678232130.91914,1,0,TCP,66
34,1678232130.91917,0,1,TCP,31922
35,1678232130.919184,0,1,TCP,1014
36,1678232130.9191935,1,0,TCP,66
37,1678232130.9192584,0,1,TCP,32870
38,1678232130.919269,1,0,TCP,66
39,1678232130.9193428,1,0,TCP,102
40,1678232130.9194129,0,1,TCP,32870
41,1678232130.919428,1,0,TCP,66
42,1678232130.9194574,0,1,TCP,32870
43,1678232130.9194744,1,0,TCP,66
44,1678232130.919543,0,1,TCP,32870
45,1678232130.9195554,1,0,TCP,66
46,1678232130.919608,0,1,TCP,32870
47,1678232130.9196167,1,0,TCP,66
48,1678232130.9196787,1,0,TCP,102
49,1678232130.9196837,0,1,TCP,32870
50,1678232130.9196944,1,0,TCP,66
51,1678232130.9197366,0,1,TCP,32870
52,1678232130.9197474,1,0,TCP,66
53,1678232130.9197867,0,1,TCP,32870
54,1678232130.9197962,1,0,TCP,66
55,1678232130.9198303,0,1,TCP,32870
56,1678232130.9198413,1,0,TCP,66
57,1678232130.9198763,0,1,TCP,32870
58,1678232130.9198887,1,0,TCP,66
59,1678232130.919892,1,0,TCP,102
60,1678232130.919924,0,1,TCP,32870
61,1678232130.9199371,1,0,TCP,66
62,1678232130.9201815,0,1,TCP,32870
63,1678232130.9201918,1,0,TCP,66
64,1678232130.9204786,0,1,TCP,32870
65,1678232130.920489,1,0,TCP,66
66,1678232130.920535,1,0,TCP,102
67,1678232130.9205391,0,1,TCP,31922
68,1678232130.920544,0,1,TCP,1014
69,1678232130.920554,1,0,TCP,66
70,1678232130.9208302,0,1,TCP,32870
71,1678232130.9208744,1,0,TCP,66
72,1678232130.9208992,0,1,TCP,31922
73,1678232130.920928,1,0,TCP,66
74,1678232130.920929,0,1,TCP,1014
75,1678232130.920949,0,1,TCP,31922
76,1678232130.9209857,1,0,TCP,66
77,1678232130.9210403,0,1,TCP,33370
78,1678232130.9210894,0,1,TCP,514
79,1678232130.9210896,1,0,TCP,66
80,1678232130.921104,0,1,TCP,31922
81,1678232130.9211488,1,0,TCP,66
82,1678232130.9211495,0,1,TCP,33370
83,1678232130.9211717,0,1,TCP,514
84,1678232130.9211924,1,0,TCP,66
85,1678232130.9211934,0,1,TCP,31922
86,1678232130.9211955,1,0,TCP,102
87,1678232130.921213,0,1,TCP,1014
88,1678232130.921239,0,1,TCP,31922
89,1678232130.921275,1,0,TCP,66
90,1678232130.9212844,0,1,TCP,33370
91,1678232130.9212902,0,1,TCP,514
92,1678232130.921322,1,0,TCP,66
93,1678232130.9213276,0,1,TCP,31922
94,1678232130.921339,0,1,TCP,1014
95,1678232130.921374,0,1,TCP,31922
96,1678232130.9213989,1,0,TCP,66
97,1678232130.9214022,1,0,TCP,102
98,1678232130.921418,0,1,TCP,33370
99,1678232130.9214225,0,1,TCP,514
100,1678232130.9214587,1,0,TCP,66
101,1678232130.9214883,0,1,TCP,32870
102,1678232130.9215393,1,0,TCP,66
103,1678232130.9215434,0,1,TCP,31922
104,1678232130.9215586,0,1,TCP,1014
105,1678232130.9215822,1,0,TCP,66
106,1678232130.921585,1,0,TCP,102
107,1678232130.9215946,0,1,TCP,31922
108,1678232130.9216,0,1,TCP,1014
109,1678232130.9216306,1,0,TCP,66
110,1678232130.9216409,0,1,TCP,31922
111,1678232130.9216456,0,1,TCP,1014
112,1678232130.9216735,1,0,TCP,66
113,1678232130.9216905,0,1,TCP,32870
114,1678232130.9217212,1,0,TCP,66
115,1678232130.9217412,0,1,TCP,32870
116,1678232130.9217646,1,0,TCP,66
117,1678232130.9217677,1,0,TCP,102
118,1678232130.9217913,0,1,TCP,32870
119,1678232130.921813,1,0,TCP,66
120,1678232130.9218366,0,1,TCP,32870
121,1678232130.9218564,1,0,TCP,66
122,1678232130.9218829,0,1,TCP,32870
123,1678232130.9219038,1,0,TCP,66
124,1678232130.9219282,0,1,TCP,32870
125,1678232130.9219477,1,0,TCP,66
126,1678232130.9219506,1,0,TCP,102
127,1678232130.9219732,0,1,TCP,32870
128,1678232130.9219954,1,0,TCP,66
129,1678232130.9220195,0,1,TCP,32870
130,1678232130.9220386,1,0,TCP,66
131,1678232130.9220634,0,1,TCP,32870
132,1678232130.9220858,1,0,TCP,66
133,1678232130.9221096,0,1,TCP,32870
134,1678232130.9221294,1,0,TCP,66
135,1678232130.9221325,1,0,TCP,102
136,1678232130.922156,0,1,TCP,32870
137,1678232130.9221778,1,0,TCP,66
138,1678232130.922202,0,1,TCP,32870
139,1678232130.9222212,1,0,TCP,66
140,1678232130.9222465,0,1,TCP,32870
141,1678232130.9222682,1,0,TCP,66
142,1678232130.9222913,0,1,TCP,32870
143,1678232130.9223118,1,0,TCP,66
144,1678232130.922315,1,0,TCP,102
145,1678232130.922336,0,1,TCP,32870
146,1678232130.9223592,1,0,TCP,66
147,1678232130.922388,0,1,TCP,32870
148,1678232130.9224043,1,0,TCP,66
149,1678232130.9224284,0,1,TCP,32870
150,1678232130.9224515,1,0,TCP,66
151,1678232130.922473,0,1,TCP,32870
152,1678232130.9224951,1,0,TCP,66
153,1678232130.922498,1,0,TCP,102
154,1678232130.9225276,0,1,TCP,32870
155,1678232130.9225442,1,0,TCP,66
156,1678232130.9227157,0,1,TCP,32870
157,1678232130.9227357,1,0,TCP,66
158,1678232130.9227724,0,1,TCP,32870
159,1678232130.9228065,1,0,TCP,66
160,1678232130.9228182,0,1,TCP,31922
161,1678232130.9228227,0,1,TCP,1014
162,1678232130.9228525,1,0,TCP,66
163,1678232130.922856,1,0,TCP,102
164,1678232130.9228806,0,1,TCP,31922
165,1678232130.9228864,0,1,TCP,1014
166,1678232130.922901,1,0,TCP,66
167,1678232130.9229124,0,1,TCP,31922
168,1678232130.9229176,0,1,TCP,1014
169,1678232130.9229443,1,0,TCP,66
170,1678232130.922977,0,1,TCP,32870
171,1678232130.922994,1,0,TCP,66
172,1678232130.9229977,1,0,TCP,102
173,1678232130.9230242,0,1,TCP,32870
174,1678232130.9230404,1,0,TCP,66
175,1678232130.9230702,0,1,TCP,32870
176,1678232130.923087,1,0,TCP,66
177,1678232130.923117,0,1,TCP,32870
178,1678232130.9231312,1,0,TCP,66
179,1678232130.9231622,0,1,TCP,32870
180,1678232130.9231791,1,0,TCP,66
181,1678232130.9231825,1,0,TCP,102
182,1678232130.9232078,0,1,TCP,32870
183,1678232130.9232254,1,0,TCP,66
184,1678232130.9232564,0,1,TCP,32870
185,1678232130.9232695,1,0,TCP,66
186,1678232130.9233215,0,1,TCP,32870
187,1678232130.9233322,1,0,TCP,66
188,1678232130.923417,0,1,TCP,32870
189,1678232130.923421,1,0,TCP,102
190,1678232130.9234364,1,0,TCP,66
191,1678232130.923463,0,1,TCP,32870
192,1678232130.9234824,1,0,TCP,66
193,1678232130.923528,0,1,TCP,32870
194,1678232130.9235458,1,0,TCP,66
195,1678232130.9235735,0,1,TCP,32870
196,1678232130.9235892,1,0,TCP,66
197,1678232130.9236376,0,1,TCP,32870
198,1678232130.9236734,1,0,TCP,66
199,1678232130.9236934,1,0,TCP,102
200,1678232130.9237778,0,1,TCP,32870
201,1678232130.9237888,1,0,TCP,66
202,1678232130.9238503,0,1,TCP,32870
203,1678232130.923869,1,0,TCP,66
204,1678232130.923921,0,1,TCP,32870
205,1678232130.9239316,1,0,TCP,66
206,1678232130.9239662,0,1,TCP,32870
207,1678232130.9239812,1,0,TCP,66
208,1678232130.9239843,1,0,TCP,102
209,1678232130.9240117,0,1,TCP,32870
210,1678232130.924028,1,0,TCP,66
211,1678232130.924059,0,1,TCP,32870
212,1678232130.9240746,1,0,TCP,66
213,1678232130.9241035,0,1,TCP,32870
214,1678232130.9241185,1,0,TCP,66
215,1678232130.9241483,0,1,TCP,32870
216,1678232130.9241674,1,0,TCP,66
217,1678232130.9241707,1,0,TCP,102
218,1678232130.9241934,0,1,TCP,32870
219,1678232130.9242144,1,0,TCP,66
220,1678232130.9242396,0,1,TCP,32870
221,1678232130.92426,1,0,TCP,66
222,1678232130.924288,0,1,TCP,32870
223,1678232130.924303,1,0,TCP,66
224,1678232130.9243338,0,1,TCP,32870
225,1678232130.9243517,1,0,TCP,66
226,1678232130.924355,1,0,TCP,102
227,1678232130.924388,0,1,TCP,32870
228,1678232130.9244,1,0,TCP,66
229,1678232130.9244387,0,1,TCP,32870
230,1678232130.9244504,1,0,TCP,66
231,1678232130.9244852,0,1,TCP,32870
232,1678232130.9245143,1,0,TCP,66
233,1678232130.924598,0,1,TCP,32870
234,1678232130.9246118,1,0,TCP,66
235,1678232130.9246151,1,0,TCP,102
236,1678232130.9246776,0,1,TCP,32870
237,1678232130.9247262,1,0,TCP,66
238,1678232130.9247596,0,1,TCP,32870
239,1678232130.9247725,1,0,TCP,66
240,1678232130.9248073,0,1,TCP,31922
241,1678232130.9248118,0,1,TCP,1014
242,1678232130.924817,1,0,TCP,66
243,1678232130.9248545,0,1,TCP,32870
244,1678232130.9248655,1,0,TCP,66
245,1678232130.9248688,1,0,TCP,102
246,1678232130.9249003,0,1,TCP,32870
247,1678232130.9249134,1,0,TCP,66
248,1678232130.9249475,0,1,TCP,32870
249,1678232130.9249597,1,0,TCP,66
250,1678232130.9250214,0,1,TCP,32870
251,1678232130.925087,1,0,TCP,66
252,1678232130.925087,0,1,TCP,31922
253,1678232130.9251072,0,1,TCP,1014
254,1678232130.9251416,0,1,TCP,31922
255,1678232130.925148,1,0,TCP,66
256,1678232130.9251616,0,1,TCP,1014
257,1678232130.925194,1,0,TCP,66
258,1678232130.9251947,0,1,TCP,31922
259,1678232130.9251974,1,0,TCP,102
260,1678232130.925208,0,1,TCP,1014
261,1678232130.9252434,1,0,TCP,66
262,1678232130.9252436,0,1,TCP,31922
263,1678232130.9252567,0,1,TCP,1014
264,1678232130.9252863,1,0,TCP,66
265,1678232130.9252925,0,1,TCP,31922
266,1678232130.9253085,0,1,TCP,1014
267,1678232130.9253345,1,0,TCP,66
268,1678232130.925341,0,1,TCP,31922
269,1678232130.9253566,0,1,TCP,1014
270,1678232130.925378,1,0,TCP,66
271,1678232130.9253812,1,0,TCP,102
272,1678232130.9253895,0,1,TCP,31922
273,1678232130.9253943,0,1,TCP,1014
274,1678232130.9254272,1,0,TCP,66
275,1678232130.9254408,0,1,TCP,31922
276,1678232130.9254456,0,1,TCP,1014
277,1678232130.9254706,1,0,TCP,66
278,1678232130.925496,0,1,TCP,32870
279,1678232130.925517,1,0,TCP,66
280,1678232130.9255412,0,1,TCP,32870
281,1678232130.925561,1,0,TCP,66
282,1678232130.925564,1,0,TCP,102
283,1678232130.925587,0,1,TCP,32870
284,1678232130.9256086,1,0,TCP,66
285,1678232130.925634,0,1,TCP,32870
286,1678232130.9256518,1,0,TCP,66
287,1678232130.9256785,0,1,TCP,32870
288,1678232130.925699,1,0,TCP,66
289,1678232130.925729,0,1,TCP,32870
290,1678232130.925741,1,0,TCP,102
291,1678232130.9257784,0,1,TCP,32870
292,1678232130.925785,1,0,TCP,66
293,1678232130.9258275,0,1,TCP,32870
294,1678232130.9258325,1,0,TCP,66
295,1678232130.925873,0,1,TCP,32870
296,1678232130.9258776,1,0,TCP,66
297,1678232130.9258938,1,0,TCP,102
298,1678232130.9259186,0,1,TCP,32870
299,1678232130.925938,1,0,TCP,66
300,1678232130.9259646,0,1,TCP,32870
301,1678232130.9259837,1,0,TCP,66
302,1678232130.9260156,0,1,TCP,32870
303,1678232130.9260285,1,0,TCP,66
304,1678232130.9260628,0,1,TCP,32870
305,1678232130.9260774,1,0,TCP,66
306,1678232130.926081,1,0,TCP,102
307,1678232130.9261093,0,1,TCP,32870
308,1678232130.9261246,1,0,TCP,66
309,1678232130.9261749,0,1,TCP,32870
310,1678232130.9262042,1,0,TCP,66
311,1678232130.9262354,0,1,TCP,32870
312,1678232130.926249,1,0,TCP,66
313,1678232130.92628,0,1,TCP,32870
314,1678232130.926298,1,0,TCP,66
315,1678232130.9263012,1,0,TCP,102
316,1678232130.926331,0,1,TCP,32870
317,1678232130.9263468,1,0,TCP,66
318,1678232130.9263818,0,1,TCP,32870
319,1678232130.9263933,1,0,TCP,66
320,1678232130.9264276,0,1,TCP,32870
321,1678232130.9264386,1,0,TCP,66
322,1678232130.9264722,0,1,TCP,31922
323,1678232130.9264772,0,1,TCP,1014
324,1678232130.9264877,1,0,TCP,66
325,1678232130.9264908,1,0,TCP,102
326,1678232130.9265206,0,1,TCP,32870
327,1678232130.926535,1,0,TCP,66
328,1678232130.9265666,0,1,TCP,32870
329,1678232130.9265814,1,0,TCP,66
330,1678232130.926612,0,1,TCP,32870
331,1678232130.9266255,1,0,TCP,66
332,1678232130.9266577,0,1,TCP,32870
333,1678232130.9266744,1,0,TCP,66
334,1678232130.9266777,1,0,TCP,102
335,1678232130.9267027,0,1,TCP,32870
336,1678232130.926721,1,0,TCP,66
337,1678232130.9267476,0,1,TCP,32870
338,1678232130.926767,1,0,TCP,66
339,1678232130.9267943,0,1,TCP,32870
340,1678232130.92681,1,0,TCP,66
341,1678232130.9268389,0,1,TCP,32870
342,1678232130.9268577,1,0,TCP,66
343,1678232130.9268837,0,1,TCP,32870
344,1678232130.9269016,1,0,TCP,66
345,1678232130.9269044,1,0,TCP,102
346,1678232130.9269388,0,1,TCP,32870
347,1678232130.926951,1,0,TCP,66
348,1678232130.9269948,0,1,TCP,32870
349,1678232130.9270427,0,1,TCP,31922
350,1678232130.9270487,1,0,TCP,66
351,1678232130.9270666,0,1,TCP,1014
352,1678232130.927091,0,1,TCP,31922
353,1678232130.9271128,1,0,TCP,66
354,1678232130.9271278,0,1,TCP,1014
355,1678232130.9271402,0,1,TCP,31922
356,1678232130.9271593,1,0,TCP,66
357,1678232130.9271626,1,0,TCP,102
358,1678232130.927176,0,1,TCP,1014
359,1678232130.9271882,0,1,TCP,31922
360,1678232130.9272096,1,0,TCP,66
361,1678232130.9272192,0,1,TCP,1014
362,1678232130.9272354,0,1,TCP,31922
363,1678232130.9272535,1,0,TCP,66
364,1678232130.9272633,0,1,TCP,1014
365,1678232130.927286,0,1,TCP,31922
366,1678232130.9273028,1,0,TCP,66
367,1678232130.9273129,0,1,TCP,1014
368,1678232130.9273324,0,1,TCP,31922
369,1678232130.927378,1,0,TCP,66
370,1678232130.927382,1,0,TCP,102
371,1678232130.9274027,0,1,TCP,1014
372,1678232130.9274309,0,1,TCP,31922
373,1678232130.927447,1,0,TCP,66
374,1678232130.9274616,0,1,TCP,1014
375,1678232130.9274778,0,1,TCP,31922
376,1678232130.927492,1,0,TCP,66
377,1678232130.9275062,0,1,TCP,1014
378,1678232130.927528,0,1,TCP,31922
379,1678232130.9275413,1,0,TCP,66
380,1678232130.927556,0,1,TCP,1014
381,1678232130.927575,0,1,TCP,31922
382,1678232130.9275863,1,0,TCP,66
383,1678232130.9275894,1,0,TCP,102
384,1678232130.9276004,0,1,TCP,1014
385,1678232130.927625,0,1,TCP,31922
386,1678232130.9276369,1,0,TCP,66
387,1678232130.9276464,0,1,TCP,1014
388,1678232130.9276738,0,1,TCP,31922
389,1678232130.9276812,1,0,TCP,66
390,1678232130.9276907,0,1,TCP,1014
391,1678232130.9277213,0,1,TCP,31922
392,1678232130.9277298,1,0,TCP,66
393,1678232130.9277449,0,1,TCP,1014
394,1678232130.9277675,0,1,TCP,31922
395,1678232130.9277751,1,0,TCP,66
396,1678232130.9277782,1,0,TCP,102
397,1678232130.9277916,0,1,TCP,1014
398,1678232130.927817,0,1,TCP,31922
399,1678232130.927826,1,0,TCP,66
400,1678232130.9278402,0,1,TCP,1014
401,1678232130.927866,0,1,TCP,31922
402,1678232130.9279115,0,1,TCP,33370
403,1678232130.9279127,1,0,TCP,66
404,1678232130.92792,1,0,TCP,66
405,1678232130.927923,1,0,TCP,102
406,1678232130.9279263,0,1,TCP,514
407,1678232130.9279575,0,1,TCP,31922
408,1678232130.9279675,1,0,TCP,66
409,1678232130.9279776,0,1,TCP,1014
410,1678232130.9280064,0,1,TCP,31922
411,1678232130.9280145,1,0,TCP,66
412,1678232130.9280243,0,1,TCP,1014
413,1678232130.928053,0,1,TCP,31922
414,1678232130.9281,0,1,TCP,33370
415,1678232130.928101,1,0,TCP,66
416,1678232130.9281085,1,0,TCP,66
417,1678232130.9281116,1,0,TCP,102
418,1678232130.928119,0,1,TCP,514
419,1678232130.928146,0,1,TCP,31922
420,1678232130.928157,1,0,TCP,66
421,1678232130.9281714,0,1,TCP,1014
422,1678232130.9281952,0,1,TCP,31922
423,1678232130.9282036,1,0,TCP,66
424,1678232130.9282176,0,1,TCP,1014
425,1678232130.928242,0,1,TCP,31922
426,1678232130.9282875,0,1,TCP,33370
427,1678232130.9282904,1,0,TCP,66
428,1678232130.9282978,1,0,TCP,66
429,1678232130.9283006,1,0,TCP,102
430,1678232130.9283018,0,1,TCP,514
431,1678232130.9283345,0,1,TCP,31922
432,1678232130.928345,1,0,TCP,66
433,1678232130.9283545,0,1,TCP,1014
434,1678232130.9283853,0,1,TCP,31922
435,1678232130.9284296,1,0,TCP,66
436,1678232130.9284298,0,1,TCP,33370
437,1678232130.928442,1,0,TCP,66
438,1678232130.9284506,0,1,TCP,514
439,1678232130.9284766,0,1,TCP,31922
440,1678232130.9284914,1,0,TCP,66
441,1678232130.9285052,0,1,TCP,1014
442,1678232130.928523,0,1,TCP,31922
