index,timestamp,src,dst,protocol,length
1,1678222216.5966237,1,0,TCP,74
2,1678222216.596882,0,1,TCP,74
3,1678222216.5969205,1,0,TCP,66
4,1678222216.5973306,1,0,TCP,107
5,1678222216.5974965,0,1,TCP,66
6,1678222216.6138167,0,1,TCP,107
7,1678222216.6138525,1,0,TCP,66
8,1678222216.614247,1,0,TCP,1570
9,1678222216.6154134,0,1,TCP,1146
10,1678222216.6634133,1,0,TCP,66
11,1678222216.6909869,1,0,TCP,1274
12,1678222216.7008665,0,1,TCP,1630
13,1678222216.7008972,1,0,TCP,66
14,1678222216.720617,1,0,TCP,82
15,1678222216.7607768,0,1,TCP,66
16,1678222216.7607968,1,0,TCP,110
17,1678222216.7609131,0,1,TCP,66
18,1678222216.7609336,0,1,TCP,110
19,1678222216.760976,1,0,TCP,126
20,1678222216.769563,0,1,TCP,118
21,1678222216.7696643,1,0,TCP,206
22,1678222216.7704246,0,1,TCP,166
23,1678222216.77153,1,0,TCP,374
24,1678222216.786932,0,1,TCP,94
25,1678222216.7870498,1,0,TCP,178
26,1678222216.822748,0,1,TCP,842
27,1678222216.8633804,1,0,TCP,66
28,1678222216.8635292,0,1,TCP,258
29,1678222216.8635414,1,0,TCP,66
30,1678222216.8636703,1,0,TCP,822
31,1678222216.8641546,0,1,TCP,138
32,1678222216.8642063,1,0,TCP,110
33,1678222216.867468,0,1,TCP,342
34,1678222216.867669,1,0,TCP,134
35,1678222216.867909,0,1,TCP,142
36,1678222216.8680477,1,0,TCP,150
37,1678222216.8682835,0,1,TCP,142
38,1678222216.8684149,1,0,TCP,150
39,1678222216.8685565,0,1,TCP,142
40,1678222216.868626,1,0,TCP,158
41,1678222216.8686864,0,1,TCP,118
42,1678222216.8688228,1,0,TCP,134
43,1678222216.869113,0,1,TCP,7306
44,1678222216.8691251,0,1,TCP,7306
45,1678222216.8691652,1,0,TCP,66
46,1678222216.869294,0,1,TCP,14546
47,1678222216.869304,0,1,TCP,3962
48,1678222216.8694282,1,0,TCP,66
49,1678222216.869638,1,0,TCP,158
50,1678222216.86989,0,1,TCP,23234
51,1678222216.8699102,1,0,TCP,66
52,1678222216.8699622,0,1,TCP,23234
53,1678222216.8699684,0,1,TCP,1514
54,1678222216.8699734,0,1,TCP,17890
55,1678222216.8700216,0,1,TCP,126
56,1678222216.8701465,1,0,TCP,66
57,1678222216.870352,1,0,TCP,102
58,1678222216.8703797,1,0,TCP,158
59,1678222216.8704383,1,0,TCP,158
60,1678222216.8704967,0,1,TCP,66
61,1678222216.8706264,0,1,TCP,31922
62,1678222216.8706484,1,0,TCP,66
63,1678222216.8706722,0,1,TCP,1014
64,1678222216.8706827,0,1,TCP,31922
65,1678222216.8706896,1,0,TCP,66
66,1678222216.8706925,0,1,TCP,1014
