index,timestamp,src,dst,protocol,length
1,1678222284.26815,1,0,TCP,74
2,1678222284.2684095,0,1,TCP,74
3,1678222284.268449,1,0,TCP,66
4,1678222284.2688806,1,0,TCP,107
5,1678222284.269027,0,1,TCP,66
6,1678222284.286467,0,1,TCP,107
7,1678222284.2864983,1,0,TCP,66
8,1678222284.286826,1,0,TCP,1570
9,1678222284.2878118,0,1,TCP,1146
10,1678222284.331378,1,0,TCP,66
11,1678222284.344634,1,0,TCP,1274
12,1678222284.354352,0,1,TCP,1630
13,1678222284.35437,1,0,TCP,66
14,1678222284.37281,1,0,TCP,82
15,1678222284.416977,0,1,TCP,66
16,1678222284.417043,1,0,TCP,110
17,1678222284.4173434,0,1,TCP,66
18,1678222284.417582,0,1,TCP,110
19,1678222284.4177942,1,0,TCP,126
20,1678222284.4268465,0,1,TCP,118
21,1678222284.4271278,1,0,TCP,206
22,1678222284.431587,0,1,TCP,166
23,1678222284.4370098,1,0,TCP,374
24,1678222284.4548807,0,1,TCP,94
25,1678222284.4551244,1,0,TCP,178
26,1678222284.4967935,0,1,TCP,66
27,1678222284.501064,0,1,TCP,842
28,1678222284.543498,1,0,TCP,66
29,1678222284.54363,0,1,TCP,258
30,1678222284.5436423,1,0,TCP,66
31,1678222284.5437825,1,0,TCP,822
32,1678222284.5439024,0,1,TCP,66
33,1678222284.5445058,0,1,TCP,138
34,1678222284.544593,1,0,TCP,110
35,1678222284.5476024,0,1,TCP,342
36,1678222284.5477746,1,0,TCP,134
37,1678222284.548061,0,1,TCP,142
38,1678222284.548205,1,0,TCP,142
39,1678222284.548479,0,1,TCP,142
40,1678222284.5486352,1,0,TCP,142
41,1678222284.5488732,0,1,TCP,142
42,1678222284.5489745,1,0,TCP,150
43,1678222284.5491824,0,1,TCP,118
44,1678222284.5494115,1,0,TCP,134
45,1678222284.549875,0,1,TCP,7306
46,1678222284.5498884,0,1,TCP,7306
47,1678222284.549918,1,0,TCP,66
48,1678222284.5501077,0,1,TCP,14546
49,1678222284.550118,0,1,TCP,3962
50,1678222284.5502515,1,0,TCP,66
51,1678222284.5556,1,0,TCP,158
52,1678222284.5560148,0,1,TCP,23234
53,1678222284.5560615,1,0,TCP,66
54,1678222284.55608,0,1,TCP,23234
55,1678222284.556089,1,0,TCP,66
56,1678222284.5560927,0,1,TCP,1514
57,1678222284.556179,0,1,TCP,17890
58,1678222284.556187,1,0,TCP,66
59,1678222284.556255,0,1,TCP,126
60,1678222284.5563922,1,0,TCP,102
61,1678222284.556519,1,0,TCP,222
62,1678222284.556582,0,1,TCP,66
63,1678222284.5567398,0,1,TCP,32870
64,1678222284.5567677,1,0,TCP,66
65,1678222284.5568502,0,1,TCP,32870
66,1678222284.5568564,1,0,TCP,66
67,1678222284.5569642,0,1,TCP,32870
68,1678222284.5569708,1,0,TCP,66
69,1678222284.5569785,0,1,TCP,32870
70,1678222284.5569832,1,0,TCP,66
71,1678222284.5569975,0,1,TCP,158
