index,timestamp,src,dst,protocol,length
1,1682367897.8480902,1,0,UDP,100
2,1682367897.861632,0,1,UDP,268
3,1682367914.3635554,0,1,TCP,74
4,1682367914.3637114,1,0,TCP,74
5,1682367914.363725,0,1,TCP,66
6,1682367914.3639438,0,1,TCP,107
7,1682367914.3640988,1,0,TCP,66
8,1682367914.3701246,1,0,TCP,107
9,1682367914.3701344,0,1,TCP,66
10,1682367914.370334,0,1,TCP,1570
11,1682367914.3708014,1,0,TCP,1146
12,1682367914.4172404,0,1,TCP,66
13,1682367914.4220138,0,1,TCP,1274
14,1682367914.4311066,1,0,TCP,1630
15,1682367914.4311182,0,1,TCP,66
16,1682367914.4486997,0,1,TCP,82
17,1682367914.4893262,1,0,TCP,66
18,1682367914.4893372,0,1,TCP,110
19,1682367914.4894245,1,0,TCP,66
20,1682367914.4894702,1,0,TCP,110
21,1682367914.4895244,0,1,TCP,126
22,1682367914.496725,1,0,TCP,118
23,1682367914.4967997,0,1,TCP,206
24,1682367914.497625,1,0,TCP,166
25,1682367914.4984603,0,1,TCP,374
26,1682367914.5113769,1,0,TCP,94
27,1682367914.5115056,0,1,TCP,178
28,1682367914.5572991,1,0,TCP,66
29,1682367914.5678174,1,0,TCP,842
30,1682367914.6132934,0,1,TCP,66
31,1682367914.613412,1,0,TCP,258
32,1682367914.61342,0,1,TCP,66
33,1682367914.6135256,0,1,TCP,838
34,1682367914.6136568,1,0,TCP,66
35,1682367914.6140907,1,0,TCP,138
36,1682367914.6406217,1,0,TCP,242
37,1682367914.6406703,0,1,TCP,66
38,1682367914.6407042,0,1,TCP,102
39,1682367914.6407118,0,1,TCP,126
40,1682367914.6407197,0,1,TCP,66
41,1682367914.6408165,1,0,TCP,66
42,1682367914.6432035,1,0,TCP,66
43,1682367914.6432276,0,1,TCP,66
44,1682367914.645643,0,1,TCP,74
45,1682367914.6456978,1,0,TCP,74
46,1682367914.6457193,0,1,TCP,66
47,1682367914.645909,0,1,TCP,107
48,1682367914.6459415,1,0,TCP,66
49,1682367914.654535,1,0,TCP,107
50,1682367914.6545534,0,1,TCP,66
51,1682367914.6547613,0,1,TCP,1570
52,1682367914.6552625,1,0,TCP,1146
53,1682367914.6971884,0,1,TCP,66
54,1682367914.7055082,0,1,TCP,1274
55,1682367914.715288,1,0,TCP,1630
56,1682367914.715302,0,1,TCP,66
57,1682367914.7335913,0,1,TCP,82
58,1682367914.7773895,1,0,TCP,66
59,1682367914.7774312,0,1,TCP,110
60,1682367914.7776284,1,0,TCP,66
61,1682367914.7778285,1,0,TCP,110
62,1682367914.7779794,0,1,TCP,126
63,1682367914.785423,1,0,TCP,118
64,1682367914.785622,0,1,TCP,206
65,1682367914.7880442,1,0,TCP,166
66,1682367914.7903578,0,1,TCP,374
67,1682367914.807767,1,0,TCP,94
68,1682367914.808035,0,1,TCP,178
69,1682367914.8493085,1,0,TCP,66
70,1682367914.868674,1,0,TCP,842
71,1682367914.9092245,0,1,TCP,66
72,1682367914.9093478,1,0,TCP,258
73,1682367914.9093575,0,1,TCP,66
74,1682367914.9094844,0,1,TCP,838
75,1682367914.9095702,1,0,TCP,66
76,1682367914.9101634,1,0,TCP,138
77,1682367914.917633,1,0,TCP,242
78,1682367914.9177406,0,1,TCP,66
79,1682367914.917851,0,1,TCP,102
80,1682367914.9178786,0,1,TCP,126
81,1682367914.9179008,0,1,TCP,66
82,1682367914.918169,1,0,TCP,66
83,1682367914.923503,1,0,TCP,66
84,1682367914.9235456,0,1,TCP,66
85,1682367914.9292052,0,1,TCP,74
86,1682367914.9293056,1,0,TCP,74
87,1682367914.9293404,0,1,TCP,66
88,1682367914.9295475,0,1,TCP,107
