index,timestamp,src,dst,protocol,length
1,1677881144.1044583,1,0,TCP,74
2,1677881144.104592,0,1,TCP,74
3,1677881144.1046257,1,0,TCP,66
4,1677881144.1085165,1,0,TCP,107
5,1677881144.1089425,0,1,TCP,66
6,1677881144.115678,0,1,TCP,107
7,1677881144.1157372,1,0,TCP,66
8,1677881144.116086,1,0,TCP,1570
9,1677881144.1172433,0,1,TCP,1146
10,1677881144.159781,1,0,TCP,66
11,1677881144.204609,1,0,TCP,1274
12,1677881144.2223997,0,1,TCP,1630
13,1677881144.222445,1,0,TCP,66
14,1677881144.2544618,1,0,TCP,82
15,1677881144.2948546,0,1,TCP,66
16,1677881144.2949047,1,0,TCP,110
17,1677881144.294984,0,1,TCP,66
18,1677881144.2950995,0,1,TCP,110
19,1677881144.2951827,1,0,TCP,126
20,1677881144.3037648,0,1,TCP,118
21,1677881144.303888,1,0,TCP,206
22,1677881144.3073,0,1,TCP,166
23,1677881144.308512,1,0,TCP,374
24,1677881144.3212276,0,1,TCP,94
25,1677881144.3214097,1,0,TCP,178
26,1677881144.362818,0,1,TCP,66
27,1677881144.3789628,0,1,TCP,842
28,1677881144.4197755,1,0,TCP,66
29,1677881144.4198556,0,1,TCP,258
30,1677881144.419874,1,0,TCP,66
31,1677881144.4200485,1,0,TCP,830
32,1677881144.4200914,0,1,TCP,66
33,1677881144.4207644,0,1,TCP,138
34,1677881144.4236383,0,1,TCP,102
35,1677881144.4236822,0,1,TCP,206
36,1677881144.423709,1,0,TCP,66
37,1677881144.4237978,1,0,TCP,102
38,1677881144.423812,1,0,TCP,126
39,1677881144.4238234,1,0,TCP,66
40,1677881144.423859,0,1,TCP,66
41,1677881144.4273765,0,1,TCP,66
42,1677881144.4274244,1,0,TCP,66
43,1677881144.4319005,1,0,TCP,74
44,1677881144.4319963,0,1,TCP,74
45,1677881144.43203,1,0,TCP,66
46,1677881144.4323075,1,0,TCP,107
47,1677881144.4323442,0,1,TCP,66
48,1677881144.443488,0,1,TCP,107
49,1677881144.443525,1,0,TCP,66
50,1677881144.444489,1,0,TCP,1570
51,1677881144.4453957,0,1,TCP,1146
52,1677881144.4877765,1,0,TCP,66
53,1677881144.5331752,1,0,TCP,1274
54,1677881144.5669615,0,1,TCP,1630
55,1677881144.5670104,1,0,TCP,66
56,1677881144.5988133,1,0,TCP,82
57,1677881144.6428566,0,1,TCP,66
58,1677881144.6429,1,0,TCP,110
59,1677881144.642974,0,1,TCP,66
60,1677881144.6430583,0,1,TCP,110
61,1677881144.6431322,1,0,TCP,126
62,1677881144.6516652,0,1,TCP,118
63,1677881144.651837,1,0,TCP,206
64,1677881144.6529868,0,1,TCP,166
65,1677881144.6541817,1,0,TCP,374
66,1677881144.669217,0,1,TCP,94
67,1677881144.6694243,1,0,TCP,178
68,1677881144.7148173,0,1,TCP,66
69,1677881144.720944,0,1,TCP,842
70,1677881144.7637775,1,0,TCP,66
71,1677881144.7638814,0,1,TCP,258
72,1677881144.7638998,1,0,TCP,66
73,1677881144.7640824,1,0,TCP,830
74,1677881144.7641225,0,1,TCP,66
75,1677881144.7648644,0,1,TCP,138
76,1677881144.7692108,0,1,TCP,242
77,1677881144.7692835,1,0,TCP,66
78,1677881144.7693565,1,0,TCP,102
79,1677881144.769372,1,0,TCP,126
80,1677881144.769384,1,0,TCP,66
81,1677881144.769426,0,1,TCP,66
82,1677881144.7730184,0,1,TCP,66
83,1677881144.7730644,1,0,TCP,66
84,1677881144.7772996,1,0,TCP,74
85,1677881144.7773874,0,1,TCP,74
86,1677881144.7774177,1,0,TCP,66
87,1677881144.777659,1,0,TCP,107
88,1677881144.777707,0,1,TCP,66
89,1677881144.7911055,0,1,TCP,107
90,1677881144.7911458,1,0,TCP,66
91,1677881144.7914867,1,0,TCP,1570
92,1677881144.7924776,0,1,TCP,1146
93,1677881144.795503,0,1,TCP,66
94,1677881144.8397813,1,0,TCP,66
95,1677881144.8819952,1,0,TCP,1274
96,1677881144.898986,0,1,TCP,1630
97,1677881144.899037,1,0,TCP,66
98,1677881144.9318118,1,0,TCP,82
99,1677881144.9748528,0,1,TCP,66
100,1677881144.974898,1,0,TCP,110
101,1677881144.9749615,0,1,TCP,66
102,1677881144.9750488,0,1,TCP,110
103,1677881144.975126,1,0,TCP,126
104,1677881144.9836893,0,1,TCP,118
105,1677881144.9838836,1,0,TCP,206
106,1677881144.9849584,0,1,TCP,166
107,1677881144.986204,1,0,TCP,374
108,1677881145.0012865,0,1,TCP,94
109,1677881145.0015182,1,0,TCP,178
110,1677881145.042807,0,1,TCP,66
111,1677881145.061887,0,1,TCP,842
112,1677881145.1037767,1,0,TCP,66
113,1677881145.103854,0,1,TCP,258
114,1677881145.1038756,1,0,TCP,66
115,1677881145.104025,1,0,TCP,830
116,1677881145.1040576,0,1,TCP,66
117,1677881145.105742,0,1,TCP,138
118,1677881145.1085634,0,1,TCP,242
119,1677881145.1086302,1,0,TCP,66
120,1677881145.108704,1,0,TCP,102
121,1677881145.10872,1,0,TCP,126
122,1677881145.1087327,1,0,TCP,66
123,1677881145.1087644,0,1,TCP,66
124,1677881145.1133528,0,1,TCP,66
125,1677881145.113395,1,0,TCP,66
126,1677881145.1168337,1,0,TCP,74
127,1677881145.116912,0,1,TCP,74
128,1677881145.1169422,1,0,TCP,66
129,1677881145.1172254,1,0,TCP,107
130,1677881145.1172626,0,1,TCP,66
131,1677881145.1284318,0,1,TCP,107
132,1677881145.1284702,1,0,TCP,66
133,1677881145.1287658,1,0,TCP,1570
134,1677881145.1303132,0,1,TCP,1146
135,1677881145.1717825,1,0,TCP,66
136,1677881145.218349,1,0,TCP,1274
137,1677881145.2367897,0,1,TCP,1630
138,1677881145.2368388,1,0,TCP,66
139,1677881145.2687976,1,0,TCP,82
140,1677881145.3108566,0,1,TCP,66
141,1677881145.3109264,1,0,TCP,110
142,1677881145.3110013,0,1,TCP,66
143,1677881145.3110986,0,1,TCP,110
144,1677881145.3111963,1,0,TCP,126
145,1677881145.3197734,0,1,TCP,118
146,1677881145.319939,1,0,TCP,206
147,1677881145.3210924,0,1,TCP,166
148,1677881145.322264,1,0,TCP,374
149,1677881145.3373234,0,1,TCP,94
150,1677881145.3375268,1,0,TCP,178
151,1677881145.3788247,0,1,TCP,66
152,1677881145.4013865,0,1,TCP,842
153,1677881145.4437752,1,0,TCP,66
154,1677881145.4438713,0,1,TCP,258
155,1677881145.4438944,1,0,TCP,66
156,1677881145.4440873,1,0,TCP,830
157,1677881145.4441216,0,1,TCP,66
158,1677881145.4452534,0,1,TCP,138
159,1677881145.4484277,0,1,TCP,242
160,1677881145.4485204,1,0,TCP,66
161,1677881145.4486165,1,0,TCP,102
162,1677881145.448633,1,0,TCP,126
163,1677881145.4486456,1,0,TCP,66
164,1677881145.448694,0,1,TCP,66
165,1677881145.4528575,0,1,TCP,66
166,1677881145.452908,1,0,TCP,66
167,1677881145.4574726,1,0,TCP,74
168,1677881145.4576588,0,1,TCP,74
169,1677881145.4576862,1,0,TCP,66
170,1677881145.4579694,1,0,TCP,107
171,1677881145.4580157,0,1,TCP,66
172,1677881145.4691796,0,1,TCP,107
173,1677881145.4692154,1,0,TCP,66
174,1677881145.470791,0,1,TCP,1146
175,1677881145.4708116,1,0,TCP,66
176,1677881145.4721248,1,0,TCP,1570
177,1677881145.4722164,0,1,TCP,66
178,1677881145.5623636,1,0,TCP,1274
179,1677881145.580174,0,1,TCP,1630
180,1677881145.58022,1,0,TCP,66
181,1677881145.6124475,1,0,TCP,82
182,1677881145.6548357,0,1,TCP,66
183,1677881145.6548824,1,0,TCP,110
184,1677881145.6549332,0,1,TCP,66
185,1677881145.6550157,0,1,TCP,110
186,1677881145.6550934,1,0,TCP,126
187,1677881145.6636508,0,1,TCP,118
188,1677881145.6638176,1,0,TCP,206
189,1677881145.6649864,0,1,TCP,166
190,1677881145.666191,1,0,TCP,374
191,1677881145.6812434,0,1,TCP,94
192,1677881145.6814675,1,0,TCP,178
193,1677881145.72286,0,1,TCP,66
194,1677881145.7399542,0,1,TCP,842
195,1677881145.7837777,1,0,TCP,66
196,1677881145.7838595,0,1,TCP,258
197,1677881145.7838776,1,0,TCP,66
198,1677881145.7840517,1,0,TCP,838
199,1677881145.784094,0,1,TCP,66
200,1677881145.7848186,0,1,TCP,138
201,1677881145.7897227,0,1,TCP,190
202,1677881145.7897985,1,0,TCP,66
203,1677881146.0045197,0,1,TCP,102
204,1677881146.0045545,0,1,TCP,142
205,1677881146.0045838,1,0,TCP,66
206,1677881147.9477074,0,1,TCP,102
207,1677881147.9477415,0,1,TCP,142
208,1677881147.9478006,1,0,TCP,66
209,1677881148.335125,0,1,TCP,102
210,1677881148.3351529,0,1,TCP,142
211,1677881148.3351972,1,0,TCP,66
212,1677881148.374235,0,1,TCP,142
213,1677881148.3844807,0,1,TCP,142
214,1677881148.3845434,1,0,TCP,66
215,1677881149.1596594,0,1,TCP,102
216,1677881149.160055,0,1,TCP,242
217,1677881149.1600916,1,0,TCP,66
218,1677881149.160154,1,0,TCP,102
219,1677881149.16017,1,0,TCP,126
220,1677881149.1601825,1,0,TCP,66
221,1677881149.160252,0,1,TCP,66
222,1677881149.1635616,0,1,TCP,66
223,1677881149.163614,1,0,TCP,66
224,1677881149.169195,1,0,TCP,74
225,1677881149.169328,0,1,TCP,74
226,1677881149.169384,1,0,TCP,66
227,1677881149.1697752,1,0,TCP,107
228,1677881149.1698174,0,1,TCP,66
229,1677881149.1814916,0,1,TCP,107
230,1677881149.181528,1,0,TCP,66
231,1677881149.1818829,1,0,TCP,1570
232,1677881149.1828876,0,1,TCP,1146
233,1677881149.2277772,1,0,TCP,66
234,1677881149.271772,1,0,TCP,1274
235,1677881149.2884245,0,1,TCP,1630
236,1677881149.2884672,1,0,TCP,66
237,1677881149.3108218,1,0,TCP,82
238,1677881149.3548174,0,1,TCP,66
239,1677881149.354862,1,0,TCP,110
240,1677881149.3549223,0,1,TCP,66
241,1677881149.35499,0,1,TCP,110
242,1677881149.355074,1,0,TCP,126
243,1677881149.3635747,0,1,TCP,118
244,1677881149.363712,1,0,TCP,206
245,1677881149.36463,0,1,TCP,166
246,1677881149.365767,1,0,TCP,374
247,1677881149.3809755,0,1,TCP,94
248,1677881149.3811624,1,0,TCP,178
249,1677881149.426818,0,1,TCP,66
250,1677881149.431984,0,1,TCP,842
251,1677881149.4797778,1,0,TCP,66
252,1677881149.479874,0,1,TCP,258
253,1677881149.479893,1,0,TCP,66
254,1677881149.4800754,1,0,TCP,838
255,1677881149.4801178,0,1,TCP,66
256,1677881149.480798,0,1,TCP,138
257,1677881149.4830766,0,1,TCP,242
258,1677881149.483151,1,0,TCP,66
259,1677881149.4832313,1,0,TCP,102
260,1677881149.4832468,1,0,TCP,126
261,1677881149.4832633,1,0,TCP,66
262,1677881149.483309,0,1,TCP,66
263,1677881149.486394,0,1,TCP,66
264,1677881149.486436,1,0,TCP,66
265,1677881149.4909189,1,0,TCP,74
266,1677881149.491012,0,1,TCP,74
267,1677881149.491042,1,0,TCP,66
268,1677881149.4913363,1,0,TCP,107
269,1677881149.4913745,0,1,TCP,66
270,1677881149.5050514,0,1,TCP,107
271,1677881149.5050895,1,0,TCP,66
272,1677881149.5054336,1,0,TCP,1570
273,1677881149.5057185,0,1,TCP,1146
274,1677881149.5057805,0,1,TCP,66
275,1677881149.55178,1,0,TCP,66
276,1677881149.5955312,1,0,TCP,1274
277,1677881149.613473,0,1,TCP,1630
278,1677881149.6135306,1,0,TCP,66
279,1677881149.6458604,1,0,TCP,82
280,1677881149.6868467,0,1,TCP,66
281,1677881149.68689,1,0,TCP,110
282,1677881149.6869552,0,1,TCP,66
283,1677881149.6870427,0,1,TCP,110
284,1677881149.6871126,1,0,TCP,126
285,1677881149.695669,0,1,TCP,118
286,1677881149.695821,1,0,TCP,206
287,1677881149.696947,0,1,TCP,166
288,1677881149.6980436,1,0,TCP,374
289,1677881149.7131822,0,1,TCP,94
290,1677881149.7133634,1,0,TCP,178
291,1677881149.7548108,0,1,TCP,66
292,1677881149.7651644,0,1,TCP,842
293,1677881149.8077772,1,0,TCP,66
294,1677881149.8078609,0,1,TCP,258
295,1677881149.807879,1,0,TCP,66
296,1677881149.8080492,1,0,TCP,838
297,1677881149.8080802,0,1,TCP,66
298,1677881149.8087676,0,1,TCP,138
299,1677881149.8119457,0,1,TCP,134
300,1677881149.811975,0,1,TCP,174
301,1677881149.8120117,1,0,TCP,66
302,1677881151.6824763,1,0,TCP,102
303,1677881151.6904528,0,1,TCP,142
304,1677881151.7317755,1,0,TCP,66
305,1677881151.886097,0,1,TCP,102
306,1677881151.886134,1,0,TCP,66
307,1677881151.968495,0,1,TCP,142
308,1677881151.9685335,1,0,TCP,66
309,1677881153.910683,0,1,TCP,102
310,1677881153.9107225,1,0,TCP,66
311,1677881153.9259524,0,1,TCP,142
312,1677881153.9259918,1,0,TCP,66
313,1677881154.3113277,0,1,TCP,102
314,1677881154.3113854,1,0,TCP,66
315,1677881154.3128045,0,1,TCP,142
316,1677881154.3128304,1,0,TCP,66
317,1677881154.3521545,0,1,TCP,102
318,1677881154.3522017,1,0,TCP,66
319,1677881154.3525274,0,1,TCP,142
320,1677881154.3525405,1,0,TCP,66
