index,timestamp,src,dst,protocol,length
1,1677880913.3418567,1,0,UDP,90
2,1677880913.4343204,0,1,UDP,90
3,1677880914.137809,1,0,UDP,87
4,1677880919.0455978,0,1,TCP,74
5,1677880919.0457342,1,0,TCP,74
6,1677880919.045772,0,1,TCP,66
7,1677880919.0485458,0,1,TCP,107
8,1677880919.0486314,1,0,TCP,66
9,1677880919.0597615,1,0,TCP,107
10,1677880919.0597963,0,1,TCP,66
11,1677880919.059945,1,0,TCP,1146
12,1677880919.0599575,0,1,TCP,66
13,1677880919.060109,0,1,TCP,1570
14,1677880919.0620496,1,0,TCP,66
15,1677880919.148162,0,1,TCP,1274
16,1677880919.1652684,1,0,TCP,1630
17,1677880919.1653073,0,1,TCP,66
18,1677880919.197427,0,1,TCP,82
19,1677880919.240513,1,0,TCP,66
20,1677880919.2405508,0,1,TCP,110
21,1677880919.240614,1,0,TCP,66
22,1677880919.2407048,1,0,TCP,110
23,1677880919.240774,0,1,TCP,126
24,1677880919.2493434,1,0,TCP,118
25,1677880919.249479,0,1,TCP,206
26,1677880919.250672,1,0,TCP,166
27,1677880919.2518542,0,1,TCP,374
28,1677880919.2669055,1,0,TCP,94
29,1677880919.267104,0,1,TCP,178
30,1677880919.308491,1,0,TCP,66
31,1677880919.319897,1,0,TCP,842
32,1677880919.3637795,0,1,TCP,66
33,1677880919.3638687,1,0,TCP,258
34,1677880919.3638875,0,1,TCP,66
35,1677880919.364071,0,1,TCP,838
36,1677880919.3641076,1,0,TCP,66
37,1677880919.3648288,1,0,TCP,138
38,1677880919.367166,1,0,TCP,242
39,1677880919.3672264,0,1,TCP,66
40,1677880919.3672938,0,1,TCP,102
41,1677880919.3673077,0,1,TCP,126
42,1677880919.367319,0,1,TCP,66
43,1677880919.3674383,1,0,TCP,66
44,1677880919.3708563,1,0,TCP,66
45,1677880919.370904,0,1,TCP,66
46,1677880919.3748505,0,1,TCP,74
47,1677880919.374941,1,0,TCP,74
48,1677880919.3749712,0,1,TCP,66
49,1677880919.3752038,0,1,TCP,107
50,1677880919.3752491,1,0,TCP,66
51,1677880919.3863122,1,0,TCP,107
52,1677880919.3863509,0,1,TCP,66
53,1677880919.3881717,1,0,TCP,1146
54,1677880919.3881984,0,1,TCP,66
55,1677880919.389496,0,1,TCP,1570
56,1677880919.3905237,1,0,TCP,66
57,1677880919.4825916,0,1,TCP,1274
58,1677880919.5001328,1,0,TCP,1630
59,1677880919.5001743,0,1,TCP,66
60,1677880919.5325923,0,1,TCP,82
61,1677880919.5765305,1,0,TCP,66
62,1677880919.5765722,0,1,TCP,110
63,1677880919.5766425,1,0,TCP,66
64,1677880919.5767417,1,0,TCP,110
65,1677880919.57681,0,1,TCP,126
66,1677880919.585382,1,0,TCP,118
67,1677880919.5856264,0,1,TCP,206
68,1677880919.586734,1,0,TCP,166
69,1677880919.5878282,0,1,TCP,374
70,1677880919.603019,1,0,TCP,94
71,1677880919.6032236,0,1,TCP,178
72,1677880919.6444983,1,0,TCP,66
73,1677880919.655254,1,0,TCP,842
74,1677880919.6997745,0,1,TCP,66
75,1677880919.6998615,1,0,TCP,258
76,1677880919.6998794,0,1,TCP,66
77,1677880919.7000513,0,1,TCP,838
78,1677880919.700112,1,0,TCP,66
79,1677880919.700905,1,0,TCP,138
80,1677880919.7050836,1,0,TCP,134
81,1677880919.7051463,0,1,TCP,66
82,1677880919.7056694,1,0,TCP,166
83,1677880919.7477791,0,1,TCP,66
84,1677880919.909307,1,0,TCP,102
85,1677880919.9093385,1,0,TCP,142
86,1677880919.9093752,0,1,TCP,66
87,1677880921.831556,1,0,TCP,142
88,1677880921.8316028,0,1,TCP,66
89,1677880922.2325895,1,0,TCP,102
90,1677880922.232623,0,1,TCP,66
91,1677880922.232636,1,0,TCP,142
92,1677880922.232643,0,1,TCP,66
93,1677880922.2727168,1,0,TCP,102
94,1677880922.2727673,0,1,TCP,66
95,1677880922.2727888,1,0,TCP,142
96,1677880922.2727978,0,1,TCP,66
97,1677880922.280856,1,0,TCP,102
98,1677880922.2808893,0,1,TCP,66
99,1677880922.2809432,1,0,TCP,142
100,1677880922.280953,0,1,TCP,66
101,1677880923.0962076,1,0,TCP,102
102,1677880923.0962772,0,1,TCP,66
103,1677880923.0970774,1,0,TCP,242
104,1677880923.0971038,0,1,TCP,66
105,1677880923.09721,0,1,TCP,102
106,1677880923.0972342,0,1,TCP,126
107,1677880923.0972495,0,1,TCP,66
108,1677880923.0973036,1,0,TCP,66
109,1677880923.1015189,1,0,TCP,66
110,1677880923.1016777,0,1,TCP,66
111,1677880923.1064394,0,1,TCP,74
112,1677880923.106555,1,0,TCP,74
113,1677880923.1065888,0,1,TCP,66
114,1677880923.1068575,0,1,TCP,107
115,1677880923.1068954,1,0,TCP,66
116,1677880923.118003,1,0,TCP,107
