index,timestamp,src,dst,protocol,length
1,1677882555.1003091,1,0,UDP,215
2,1677882556.10826,1,0,UDP,215
3,1677882556.537354,1,0,TCP,74
4,1677882556.5375366,0,1,TCP,74
5,1677882556.5375695,1,0,TCP,66
6,1677882556.544183,0,1,TCP,107
7,1677882556.544202,1,0,TCP,66
8,1677882556.5492983,1,0,TCP,107
9,1677882556.549416,0,1,TCP,66
10,1677882556.549544,1,0,TCP,1570
11,1677882556.5496728,0,1,TCP,66
12,1677882556.5505352,0,1,TCP,1146
13,1677882556.5957603,1,0,TCP,66
14,1677882556.627691,1,0,TCP,1274
15,1677882556.6384697,0,1,TCP,1630
16,1677882556.6385005,1,0,TCP,66
17,1677882556.6607156,1,0,TCP,82
18,1677882556.7044747,0,1,TCP,66
19,1677882556.7045064,1,0,TCP,110
20,1677882556.704619,0,1,TCP,66
21,1677882556.7046895,0,1,TCP,110
22,1677882556.7047784,1,0,TCP,126
23,1677882556.713375,0,1,TCP,118
24,1677882556.713472,1,0,TCP,206
25,1677882556.714425,0,1,TCP,166
26,1677882556.7151928,1,0,TCP,374
27,1677882556.7308598,0,1,TCP,94
28,1677882556.7310252,1,0,TCP,178
29,1677882556.7724357,0,1,TCP,66
30,1677882556.7876368,0,1,TCP,842
31,1677882556.827797,1,0,TCP,66
32,1677882556.827907,0,1,TCP,258
33,1677882556.8279216,1,0,TCP,66
34,1677882556.8767917,1,0,TCP,174
35,1677882556.876883,1,0,TCP,822
36,1677882556.8769069,0,1,TCP,66
37,1677882556.8769245,0,1,TCP,66
38,1677882556.8776011,0,1,TCP,174
39,1677882556.877622,1,0,TCP,66
40,1677882556.8823428,0,1,TCP,134
41,1677882556.882389,1,0,TCP,66
42,1677882556.8825195,1,0,TCP,110
43,1677882556.8826976,0,1,TCP,150
44,1677882556.8828275,1,0,TCP,3486
45,1677882556.8829737,0,1,TCP,66
46,1677882556.8831074,0,1,TCP,126
47,1677882556.883148,1,0,TCP,134
48,1677882556.8833249,0,1,TCP,110
49,1677882556.8833623,1,0,TCP,134
50,1677882556.8834372,0,1,TCP,150
51,1677882556.8834813,1,0,TCP,262
52,1677882556.8835638,0,1,TCP,126
53,1677882556.8836005,1,0,TCP,134
54,1677882556.8836715,0,1,TCP,110
55,1677882556.8837073,1,0,TCP,134
56,1677882556.883813,0,1,TCP,126
57,1677882556.8838882,1,0,TCP,134
58,1677882556.8840234,0,1,TCP,126
59,1677882556.8841066,1,0,TCP,134
60,1677882556.8846638,0,1,TCP,126
61,1677882556.8847363,1,0,TCP,134
62,1677882556.885353,0,1,TCP,142
63,1677882556.88543,1,0,TCP,134
64,1677882556.8856044,0,1,TCP,118
65,1677882556.885668,1,0,TCP,134
66,1677882556.8856814,1,0,TCP,2014
67,1677882556.8857613,0,1,TCP,66
68,1677882556.8859468,0,1,TCP,2542
69,1677882556.8859627,1,0,TCP,66
70,1677882556.886415,1,0,TCP,134
71,1677882556.886572,0,1,TCP,118
72,1677882556.8866067,1,0,TCP,134
73,1677882556.886949,0,1,TCP,7306
74,1677882556.886961,0,1,TCP,5222
75,1677882556.8869684,1,0,TCP,66
76,1677882556.8876767,1,0,TCP,134
77,1677882556.887874,0,1,TCP,158
78,1677882556.8880608,1,0,TCP,3422
79,1677882556.888155,0,1,TCP,66
80,1677882556.888274,0,1,TCP,150
81,1677882556.888329,1,0,TCP,190
82,1677882556.888503,0,1,TCP,150
83,1677882556.888558,1,0,TCP,190
84,1677882556.8887067,0,1,TCP,182
85,1677882556.8887537,1,0,TCP,3422
86,1677882556.8888052,0,1,TCP,66
87,1677882556.888942,0,1,TCP,182
88,1677882556.888988,1,0,TCP,3422
89,1677882556.8890395,0,1,TCP,66
90,1677882556.8893375,0,1,TCP,3022
91,1677882556.889343,1,0,TCP,66
92,1677882556.8918989,1,0,TCP,134
93,1677882556.8930411,0,1,TCP,4078
94,1677882556.8930857,1,0,TCP,66
95,1677882556.8939023,1,0,TCP,134
96,1677882556.8939266,1,0,TCP,294
97,1677882556.8939526,1,0,TCP,166
98,1677882556.8940482,0,1,TCP,66
99,1677882556.8942037,0,1,TCP,158
100,1677882556.8942711,1,0,TCP,166
101,1677882556.8946028,0,1,TCP,1158
102,1677882556.8946793,1,0,TCP,134
103,1677882556.8947015,1,0,TCP,134
104,1677882556.8947237,1,0,TCP,134
105,1677882556.8947625,0,1,TCP,66
106,1677882556.8947744,1,0,TCP,7306
107,1677882556.8947785,1,0,TCP,2782
108,1677882556.8948092,0,1,TCP,66
109,1677882556.8948944,0,1,TCP,110
110,1677882556.8949733,1,0,TCP,166
111,1677882556.8983097,0,1,TCP,3590
112,1677882556.8983376,1,0,TCP,66
113,1677882556.8985355,1,0,TCP,198
114,1677882556.8985453,1,0,TCP,134
115,1677882556.8985806,1,0,TCP,134
116,1677882556.898595,1,0,TCP,134
117,1677882556.898636,1,0,TCP,166
118,1677882556.8986444,1,0,TCP,134
119,1677882556.898671,0,1,TCP,66
120,1677882556.8986795,1,0,TCP,134
121,1677882556.8987226,1,0,TCP,134
122,1677882556.8987982,1,0,TCP,134
123,1677882556.8988726,0,1,TCP,66
124,1677882556.8991487,0,1,TCP,782
125,1677882556.8992488,1,0,TCP,134
126,1677882556.8992934,1,0,TCP,134
127,1677882556.8993063,1,0,TCP,134
128,1677882556.899319,1,0,TCP,134
129,1677882556.8993318,1,0,TCP,134
130,1677882556.8993893,1,0,TCP,134
131,1677882556.8994205,1,0,TCP,166
132,1677882556.899453,0,1,TCP,66
133,1677882556.899482,0,1,TCP,66
134,1677882556.8996744,0,1,TCP,1118
135,1677882556.89969,1,0,TCP,134
136,1677882556.9004695,1,0,TCP,294
137,1677882556.9004917,1,0,TCP,134
138,1677882556.9005315,0,1,TCP,66
139,1677882556.900643,0,1,TCP,630
140,1677882556.900679,1,0,TCP,134
141,1677882556.900693,1,0,TCP,134
142,1677882556.900705,1,0,TCP,134
143,1677882556.9007175,1,0,TCP,134
144,1677882556.9007883,0,1,TCP,66
145,1677882556.9009788,0,1,TCP,5630
146,1677882556.900995,1,0,TCP,66
147,1677882556.9010775,1,0,TCP,134
148,1677882556.9011042,1,0,TCP,134
149,1677882556.901117,1,0,TCP,134
150,1677882556.9011295,1,0,TCP,134
151,1677882556.9011424,1,0,TCP,134
152,1677882556.901155,1,0,TCP,134
153,1677882556.9011574,0,1,TCP,66
154,1677882556.9011683,1,0,TCP,134
155,1677882556.9011817,1,0,TCP,134
156,1677882556.9011934,1,0,TCP,134
157,1677882556.9012108,1,0,TCP,134
158,1677882556.901228,1,0,TCP,134
159,1677882556.901238,0,1,TCP,66
160,1677882556.9012413,1,0,TCP,134
161,1677882556.9012556,1,0,TCP,134
162,1677882556.901265,0,1,TCP,66
163,1677882556.9012785,1,0,TCP,134
164,1677882556.9012914,1,0,TCP,134
165,1677882556.901302,0,1,TCP,66
166,1677882556.9013147,1,0,TCP,134
167,1677882556.901332,1,0,TCP,134
168,1677882556.9013383,0,1,TCP,66
169,1677882556.9013522,1,0,TCP,134
170,1677882556.9013686,0,1,TCP,66
171,1677882556.9013722,1,0,TCP,134
172,1677882556.901431,0,1,TCP,126
173,1677882556.901518,1,0,TCP,134
174,1677882556.9018784,0,1,TCP,13098
175,1677882556.9018867,0,1,TCP,3454
176,1677882556.9018936,1,0,TCP,66
