index,timestamp,src,dst,protocol,length
1,1677882500.949153,1,0,UDP,100
2,1677882500.9621344,0,1,UDP,268
3,1677882505.600272,0,1,TCP,74
4,1677882505.600397,1,0,TCP,74
5,1677882505.6004343,0,1,TCP,66
6,1677882505.6007123,0,1,TCP,107
7,1677882505.6007612,1,0,TCP,66
8,1677882505.6136975,1,0,TCP,107
9,1677882505.6137338,0,1,TCP,66
10,1677882505.6140428,0,1,TCP,1570
11,1677882505.6166687,1,0,TCP,1146
12,1677882505.6637852,0,1,TCP,66
13,1677882505.7081876,0,1,TCP,1274
14,1677882505.7254088,1,0,TCP,1630
15,1677882505.7254522,0,1,TCP,66
16,1677882505.757213,0,1,TCP,82
17,1677882505.8005946,1,0,TCP,66
18,1677882505.8006408,0,1,TCP,110
19,1677882505.800702,1,0,TCP,66
20,1677882505.8007798,1,0,TCP,110
21,1677882505.8008523,0,1,TCP,126
22,1677882505.8093925,1,0,TCP,118
23,1677882505.8095045,0,1,TCP,206
24,1677882505.8105483,1,0,TCP,166
25,1677882505.8116028,0,1,TCP,374
26,1677882505.8269048,1,0,TCP,94
27,1677882505.8271408,0,1,TCP,178
28,1677882505.8725574,1,0,TCP,66
29,1677882505.8839684,1,0,TCP,842
30,1677882505.931777,0,1,TCP,66
31,1677882505.931854,1,0,TCP,258
32,1677882505.9318757,0,1,TCP,66
33,1677882505.9337509,0,1,TCP,174
34,1677882505.9338398,1,0,TCP,66
35,1677882505.9338765,0,1,TCP,822
36,1677882505.9339044,1,0,TCP,66
37,1677882505.9340637,1,0,TCP,102
38,1677882505.934746,1,0,TCP,138
39,1677882505.9347696,0,1,TCP,66
40,1677882505.9418244,1,0,TCP,134
41,1677882505.9419892,0,1,TCP,110
42,1677882505.9421258,1,0,TCP,150
43,1677882505.9422655,0,1,TCP,3486
44,1677882505.9423387,1,0,TCP,66
45,1677882505.9425924,1,0,TCP,126
46,1677882505.9426634,0,1,TCP,134
47,1677882505.9427788,1,0,TCP,110
48,1677882505.9428444,0,1,TCP,134
49,1677882505.9429638,1,0,TCP,150
50,1677882505.9430382,0,1,TCP,262
51,1677882505.943154,1,0,TCP,126
52,1677882505.9432173,0,1,TCP,134
53,1677882505.9433124,1,0,TCP,110
54,1677882505.9433746,0,1,TCP,134
55,1677882505.9434936,1,0,TCP,126
56,1677882505.9435513,0,1,TCP,134
57,1677882505.943642,1,0,TCP,126
58,1677882505.9437003,0,1,TCP,134
59,1677882505.9455285,1,0,TCP,126
60,1677882505.9456613,0,1,TCP,134
61,1677882505.945989,1,0,TCP,150
62,1677882505.9460857,0,1,TCP,142
63,1677882505.946282,1,0,TCP,158
64,1677882505.9465206,0,1,TCP,134
65,1677882505.9466462,1,0,TCP,158
66,1677882505.9468668,0,1,TCP,3422
67,1677882505.946929,1,0,TCP,66
68,1677882505.9471517,1,0,TCP,150
69,1677882505.9472277,0,1,TCP,190
70,1677882505.9473429,1,0,TCP,150
71,1677882505.9474118,0,1,TCP,190
72,1677882505.947523,1,0,TCP,150
73,1677882505.9475832,0,1,TCP,190
74,1677882505.9476922,1,0,TCP,150
75,1677882505.947767,0,1,TCP,190
76,1677882505.9478793,1,0,TCP,150
77,1677882505.9479463,0,1,TCP,190
78,1677882505.9480608,1,0,TCP,150
79,1677882505.9481256,0,1,TCP,190
80,1677882505.9483223,1,0,TCP,150
81,1677882505.94839,0,1,TCP,190
82,1677882505.948494,1,0,TCP,150
83,1677882505.948582,0,1,TCP,190
84,1677882505.9488404,1,0,TCP,150
85,1677882505.9489088,0,1,TCP,190
86,1677882505.949028,1,0,TCP,150
87,1677882505.949093,0,1,TCP,190
88,1677882505.9492106,1,0,TCP,150
89,1677882505.9492726,0,1,TCP,190
90,1677882505.9493866,1,0,TCP,150
91,1677882505.9494436,0,1,TCP,190
92,1677882505.9495509,1,0,TCP,150
93,1677882505.949612,0,1,TCP,190
94,1677882505.949714,1,0,TCP,158
95,1677882505.949833,0,1,TCP,198
96,1677882505.9499393,1,0,TCP,158
97,1677882505.9500012,0,1,TCP,206
98,1677882505.950104,1,0,TCP,150
99,1677882505.9502237,0,1,TCP,206
100,1677882505.9503372,1,0,TCP,158
101,1677882505.9504292,0,1,TCP,206
102,1677882505.9505315,1,0,TCP,158
103,1677882505.9506226,0,1,TCP,206
104,1677882505.9507754,1,0,TCP,150
105,1677882505.9508417,0,1,TCP,190
106,1677882505.950946,1,0,TCP,166
107,1677882505.9510384,0,1,TCP,462
108,1677882505.9511592,1,0,TCP,166
109,1677882505.9512289,0,1,TCP,462
110,1677882505.951352,1,0,TCP,166
111,1677882505.95157,0,1,TCP,462
112,1677882505.951702,1,0,TCP,166
113,1677882505.9519265,0,1,TCP,462
114,1677882505.9520762,1,0,TCP,166
115,1677882505.95228,0,1,TCP,462
116,1677882505.9524086,1,0,TCP,166
117,1677882505.9526086,0,1,TCP,462
118,1677882505.9527278,1,0,TCP,166
119,1677882505.952929,0,1,TCP,470
120,1677882505.953086,1,0,TCP,166
121,1677882505.9532788,0,1,TCP,462
122,1677882505.953418,1,0,TCP,166
123,1677882505.953608,0,1,TCP,462
124,1677882505.953746,1,0,TCP,166
125,1677882505.9539385,0,1,TCP,462
126,1677882505.9540727,1,0,TCP,166
127,1677882505.9542632,0,1,TCP,462
128,1677882505.9543955,1,0,TCP,166
129,1677882505.954589,0,1,TCP,462
130,1677882505.9547224,1,0,TCP,174
131,1677882505.9718852,0,1,TCP,486
132,1677882505.9721503,1,0,TCP,182
133,1677882505.976691,0,1,TCP,462
134,1677882505.9769814,1,0,TCP,182
135,1677882505.9932928,0,1,TCP,494
136,1677882505.993617,1,0,TCP,174
137,1677882505.9939027,0,1,TCP,454
138,1677882505.9940815,1,0,TCP,166
139,1677882505.9951346,0,1,TCP,470
140,1677882505.995706,1,0,TCP,214
141,1677882505.9958467,0,1,TCP,134
142,1677882505.996017,1,0,TCP,118
143,1677882505.9961076,0,1,TCP,134
144,1677882505.996133,0,1,TCP,2014
145,1677882505.9961853,1,0,TCP,66
146,1677882505.9971116,1,0,TCP,4046
147,1677882505.997143,0,1,TCP,66
148,1677882505.9976895,0,1,TCP,134
149,1677882505.997862,1,0,TCP,118
150,1677882505.9979348,0,1,TCP,134
151,1677882505.9981751,1,0,TCP,326
152,1677882505.9982555,0,1,TCP,134
153,1677882506.011109,1,0,TCP,7306
154,1677882506.0111504,1,0,TCP,7306
155,1677882506.011185,0,1,TCP,66
156,1677882506.0112524,1,0,TCP,1486
157,1677882506.0125034,0,1,TCP,358
158,1677882506.0127723,1,0,TCP,198
159,1677882506.0128632,0,1,TCP,198
160,1677882506.0132196,1,0,TCP,7262
161,1677882506.0132475,0,1,TCP,66
162,1677882506.01332,0,1,TCP,134
163,1677882506.0134358,0,1,TCP,134
164,1677882506.0134964,1,0,TCP,66
165,1677882506.0140588,0,1,TCP,134
166,1677882506.0140762,0,1,TCP,134
167,1677882506.0140882,0,1,TCP,134
168,1677882506.0141284,1,0,TCP,66
169,1677882506.0141556,0,1,TCP,134
170,1677882506.014249,1,0,TCP,126
171,1677882506.0143094,0,1,TCP,134
172,1677882506.0145495,1,0,TCP,726
173,1677882506.014614,0,1,TCP,134
174,1677882506.014634,0,1,TCP,166
175,1677882506.0146954,1,0,TCP,66
176,1677882506.014915,0,1,TCP,134
177,1677882506.0198526,0,1,TCP,166
178,1677882506.0200224,1,0,TCP,66
179,1677882506.0205312,0,1,TCP,134
180,1677882506.0207417,0,1,TCP,134
181,1677882506.0208116,1,0,TCP,66
182,1677882506.0209334,0,1,TCP,198
183,1677882506.0247777,0,1,TCP,134
184,1677882506.0249605,1,0,TCP,66
185,1677882506.029106,0,1,TCP,166
186,1677882506.0291965,0,1,TCP,198
187,1677882506.029279,1,0,TCP,66
188,1677882506.0293298,0,1,TCP,678
189,1677882506.0293512,0,1,TCP,358
190,1677882506.0293686,0,1,TCP,390
191,1677882506.0293815,1,0,TCP,66
192,1677882506.029385,0,1,TCP,326
193,1677882506.0294054,0,1,TCP,486
194,1677882506.0294104,1,0,TCP,66
195,1677882506.0294223,0,1,TCP,742
196,1677882506.0294392,0,1,TCP,486
197,1677882506.029446,1,0,TCP,66
198,1677882506.0294569,0,1,TCP,486
199,1677882506.029474,0,1,TCP,710
200,1677882506.029481,1,0,TCP,66
201,1677882506.02949,0,1,TCP,326
202,1677882506.0295055,0,1,TCP,294
203,1677882506.029512,1,0,TCP,66
204,1677882506.0295217,0,1,TCP,294
205,1677882506.0295365,0,1,TCP,486
206,1677882506.0295427,1,0,TCP,66
207,1677882506.029552,0,1,TCP,294
208,1677882506.029569,0,1,TCP,486
209,1677882506.029575,1,0,TCP,66
210,1677882506.0295842,0,1,TCP,902
211,1677882506.0295992,0,1,TCP,582
212,1677882506.029606,1,0,TCP,66
213,1677882506.0296144,0,1,TCP,582
214,1677882506.029627,0,1,TCP,294
215,1677882506.029638,1,0,TCP,66
216,1677882506.029639,0,1,TCP,262
217,1677882506.0296516,0,1,TCP,198
218,1677882506.0296645,0,1,TCP,838
219,1677882506.0296657,1,0,TCP,66
220,1677882506.0296736,0,1,TCP,198
221,1677882506.029761,1,0,TCP,66
222,1677882506.0298865,1,0,TCP,2462
223,1677882506.02991,0,1,TCP,66
224,1677882506.0299168,1,0,TCP,230
225,1677882506.0300536,0,1,TCP,134
226,1677882506.0309455,0,1,TCP,166
227,1677882506.0310705,1,0,TCP,66
228,1677882506.0463524,0,1,TCP,166
229,1677882506.0885828,1,0,TCP,66
230,1677882506.6548371,0,1,TCP,134
231,1677882506.6550355,1,0,TCP,66
232,1677882506.6736867,0,1,TCP,134
233,1677882506.6738064,1,0,TCP,66
234,1677882506.67409,1,0,TCP,118
235,1677882506.6741743,0,1,TCP,182
236,1677882506.6743548,1,0,TCP,118
237,1677882506.6768496,0,1,TCP,182
238,1677882506.680682,0,1,TCP,134
239,1677882506.6808634,1,0,TCP,66
240,1677882506.7586884,0,1,TCP,134
241,1677882506.8006113,1,0,TCP,66
242,1677882507.4859202,0,1,TCP,134
243,1677882507.4860437,1,0,TCP,66
244,1677882507.4862733,1,0,TCP,190
245,1677882507.4863784,0,1,TCP,230
246,1677882507.4871593,1,0,TCP,278
247,1677882507.4872708,0,1,TCP,174
248,1677882507.48749,1,0,TCP,102
249,1677882507.4875407,0,1,TCP,126
250,1677882507.4875524,0,1,TCP,66
251,1677882507.491616,1,0,TCP,66
252,1677882507.4916625,0,1,TCP,66
253,1677882507.4956706,0,1,TCP,74
254,1677882507.4957862,1,0,TCP,74
255,1677882507.4958174,0,1,TCP,66
256,1677882507.4960916,0,1,TCP,107
257,1677882507.4961393,1,0,TCP,66
258,1677882507.506882,1,0,TCP,107
259,1677882507.5069184,0,1,TCP,66
260,1677882507.5072324,0,1,TCP,1570
261,1677882507.510734,1,0,TCP,1146
262,1677882507.5557754,0,1,TCP,66
263,1677882507.597349,0,1,TCP,1274
264,1677882507.6143987,1,0,TCP,1630
265,1677882507.6144392,0,1,TCP,66
266,1677882507.646088,0,1,TCP,82
267,1677882507.688562,1,0,TCP,66
268,1677882507.6886086,0,1,TCP,110
269,1677882507.688684,1,0,TCP,66
270,1677882507.6888008,1,0,TCP,110
271,1677882507.6888933,0,1,TCP,126
272,1677882507.6980855,1,0,TCP,118
273,1677882507.698204,0,1,TCP,206
274,1677882507.6992316,1,0,TCP,166
275,1677882507.70044,0,1,TCP,374
276,1677882507.7156537,1,0,TCP,94
277,1677882507.715875,0,1,TCP,178
278,1677882507.75657,1,0,TCP,66
279,1677882507.7692535,1,0,TCP,842
280,1677882507.8117747,0,1,TCP,66
281,1677882507.811865,1,0,TCP,258
282,1677882507.8118894,0,1,TCP,66
283,1677882507.813816,0,1,TCP,174
284,1677882507.8139064,1,0,TCP,66
285,1677882507.813945,0,1,TCP,822
286,1677882507.8139794,1,0,TCP,66
